    Macro definition                            err code    brief description
----------------------------------------------------------------------------------------------------------      
SSL_R_APPLICATION_DATA_AFTER_CLOSE_NOTIFY        291    "application data after close notify"
SSL_R_APP_DATA_IN_HANDSHAKE                      100    "app data in handshake"
SSL_R_ATTEMPT_TO_REUSE_SESSION_IN_DIFFERENT_CONTEXT 272   "attempt to reuse session in different context"
SSL_R_AT_LEAST_TLS_1_0_NEEDED_IN_FIPS_MODE       143    "at least TLS 1.0 needed in FIPS mode"
SSL_R_AT_LEAST_TLS_1_2_NEEDED_IN_SUITEB_MODE     158    "at least (D)TLS 1.2 needed in Suite B mode"
SSL_R_BAD_CHANGE_CIPHER_SPEC                     103    "bad change cipher spec"
SSL_R_BAD_CIPHER                                 186    "bad cipher"
SSL_R_BAD_DATA                                   390    "bad data"
SSL_R_BAD_DATA_RETURNED_BY_CALLBACK              106    "bad data returned by callback"
SSL_R_BAD_DECOMPRESSION                          107    "bad decompression"
SSL_R_BAD_DH_VALUE                               102    "bad dh value"
SSL_R_BAD_DIGEST_LENGTH                          111    "bad digest length"
SSL_R_BAD_EARLY_DATA                             233    "bad early data"
SSL_R_BAD_ECC_CERT                               304    "bad ecc cert"
SSL_R_BAD_ECPOINT                                306    "bad ecpoint"
SSL_R_BAD_EXTENSION                              110    "bad extension"
SSL_R_BAD_HANDSHAKE_LENGTH                       332    "bad handshake length"
SSL_R_BAD_HANDSHAKE_STATE                        236    "bad handshake state"
SSL_R_BAD_HELLO_REQUEST                          105    "bad hello request"
SSL_R_BAD_HRR_VERSION                            263    "bad hrr version"
SSL_R_BAD_KEY_SHARE                              108    "bad key share"
SSL_R_BAD_KEY_UPDATE                             122    "bad key update"
SSL_R_BAD_LEGACY_VERSION                         292    "bad legacy version"
SSL_R_BAD_LENGTH                                 271    "bad length"
SSL_R_BAD_PACKET                                 240    "bad packet"
SSL_R_BAD_PACKET_LENGTH                          115    "bad packet length"
SSL_R_BAD_PROTOCOL_VERSION_NUMBER                116    "bad protocol version number"
SSL_R_BAD_PSK                                    219    "bad psk"
SSL_R_BAD_PSK_IDENTITY                           114    "bad psk identity"
SSL_R_BAD_RECORD_TYPE                            443    "bad record type"
SSL_R_BAD_RSA_ENCRYPT                            119    "bad rsa encrypt"
SSL_R_BAD_SIGNATURE                              123    "bad signature"
SSL_R_BAD_SRP_A_LENGTH                           347    "bad srp a length"
SSL_R_BAD_SRP_PARAMETERS                         371    "bad srp parameters"
SSL_R_BAD_SRTP_MKI_VALUE                         352    "bad srtp mki value"
SSL_R_BAD_SRTP_PROTECTION_PROFILE_LIST           353    "bad srtp protection profile list"
SSL_R_BAD_SSL_FILETYPE                           124    "bad ssl filetype"
SSL_R_BAD_VALUE                                  384    "bad value"
SSL_R_BAD_WRITE_RETRY                            127    "bad write retry"
SSL_R_BINDER_DOES_NOT_VERIFY                     253    "binder does not verify"
SSL_R_BIO_NOT_SET                                128    "bio not set"
SSL_R_BLOCK_CIPHER_PAD_IS_WRONG                  129    "block cipher pad is wrong"
SSL_R_BN_LIB                                     130    "bn lib"
SSL_R_CALLBACK_FAILED                            234    "callback failed"
SSL_R_CANNOT_CHANGE_CIPHER                       109    "cannot change cipher"
SSL_R_CA_DN_LENGTH_MISMATCH                      131    "ca dn length mismatch"
SSL_R_CA_KEY_TOO_SMALL                           397    "ca key too small"
SSL_R_CA_MD_TOO_WEAK                             398    "ca md too weak"
SSL_R_CCS_RECEIVED_EARLY                         133    "ccs received early"
SSL_R_CERTIFICATE_VERIFY_FAILED                  134    "certificate verify failed"
SSL_R_CERT_CB_ERROR                              377    "cert cb error"
SSL_R_CERT_LENGTH_MISMATCH                       135    "cert length mismatch"
SSL_R_CIPHERSUITE_DIGEST_HAS_CHANGED             218    "ciphersuite digest has changed"
SSL_R_CIPHER_CODE_WRONG_LENGTH                   137    "cipher code wrong length"
SSL_R_CIPHER_OR_HASH_UNAVAILABLE                 138    "cipher or hash unavailable"
SSL_R_CLIENTHELLO_TLSEXT                         226    "clienthello tlsext"
SSL_R_COMPRESSED_LENGTH_TOO_LONG                 140    "compressed length too long"
SSL_R_COMPRESSION_DISABLED                       343    "compression disabled"
SSL_R_COMPRESSION_FAILURE                        141    "compression failure"
SSL_R_COMPRESSION_ID_NOT_WITHIN_PRIVATE_RANGE    307    "compression id not within private range"
SSL_R_COMPRESSION_LIBRARY_ERROR                  142    "compression library error"
SSL_R_CONNECTION_TYPE_NOT_SET                    144    "connection type not set"
SSL_R_CONTEXT_NOT_DANE_ENABLED                   167    "context not dane enabled"
SSL_R_COOKIE_GEN_CALLBACK_FAILURE                400    "cookie gen callback failure"
SSL_R_COOKIE_MISMATCH                            308    "cookie mismatch"
SSL_R_CUSTOM_EXT_HANDLER_ALREADY_INSTALLED       206    "custom ext handler already installed"
SSL_R_DANE_ALREADY_ENABLED                       172    "dane already enabled"
SSL_R_DANE_CANNOT_OVERRIDE_MTYPE_FULL            173    "dane cannot override mtype full"
SSL_R_DANE_NOT_ENABLED                           175    "dane not enabled"
SSL_R_DANE_TLSA_BAD_CERTIFICATE                  180    "dane tlsa bad certificate"
SSL_R_DANE_TLSA_BAD_CERTIFICATE_USAGE            184    "dane tlsa bad certificate usage"
SSL_R_DANE_TLSA_BAD_DATA_LENGTH                  189    "dane tlsa bad data length"
SSL_R_DANE_TLSA_BAD_DIGEST_LENGTH                192    "dane tlsa bad digest length"
SSL_R_DANE_TLSA_BAD_MATCHING_TYPE                200    "dane tlsa bad matching type"
